Tem,Humidity
22,20
22,20
22,26
22,26
22,20
22,23
22,20
22,23
21,20
21,21
21,20
21,20
21,20
21,20
21,20
21,20
21,21
21,26
21,20
21,21
21,20
21,21
21,22
21,20
20,21
21,20
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,27
21,20
20,27
20,22
20,27
20,22
20,22
20,21
20,21
22,23
19,24
19,21
19,22
9,140
19,21
19,33
19,22
19,21
20,23
19,21
19,21
18,24
19,25
19,21
17,22
19,21
19,24
18,22
18,22
18,22
18,22
18,22
18,28
18,22
18,23
18,28
18,22
18,22
18,22
18,24
18,22
18,22
18,22
17,23
17,28
18,22
17,28
18,22
17,28
17,22
17,28
17,28
17,25
17,22
17,22
17,22
17,28
17,22
17,22
17,22
17,22
17,22
17,27
17,22
16,26
17,23
15,23
16,29
16,26
16,27
16,23
16,29
17,22
16,24
16,23
16,30
16,23
16,25
16,23
16,24
16,23
16,23
16,24
16,23
16,24
16,24
15,26
16,24
16,37
15,30
15,28
15,24
15,26
15,24
15,30
15,24
15,26
16,24
15,25
16,26
16,27
16,26
17,23
19,21
19,27
22,20
26,19
27,17
28,17
30,16
30,16
30,16
31,15
32,15
33,15
34,14
34,15
34,14
35,13
36,13
36,13
31,15
35,13
37,12
35,14
35,13
34,18
31,15
32,15
32,15
31,15
30,16
30,16
31,18
29,16
29,19
35,13
34,14
30,16
30,22
34,14
34,14
30,16
30,16
28,17
30,19
33,17
33,14
35,16
35,13
30,16
30,21
27,17
27,17
25,18
25,18
23,19
23,19
23,22
22,20
22,20
23,19
23,22
24,19
24,19
23,19
22,20
22,20
22,23
22,20
24,19
24,19
23,25
23,21
23,24
23,19
23,19
23,19
22,20
24,19
23,24
22,20
23,19
23,19
23,19
23,19
23,19
24,19
24,19
23,19
21,20
22,26
22,21
23,19
23,19
23,19
23,19
23,19
22,26
22,20
22,23
22,20
22,20
23,25
22,24
22,20
21,24
22,20
22,26
22,20
22,22
21,20
21,20
21,20
22,20
21,20
21,22
21,20
20,21
21,20
21,26
21,20
20,26
20,21
21,26
20,21
20,25
20,21
19,21
20,21
19,21
19,21
20,21
19,21
21,20
21,20
21,20
21,22
21,23
21,20
21,26
21,20
21,26
21,20
21,23
19,21
20,21
20,21
20,21
19,27
19,24
18,33
19,23
19,24
19,21
19,21
18,22
19,21
19,21
19,27
19,21
19,27
19,21
19,27
19,21
19,27
19,21
19,21
19,21
19,21
19,21
18,22
17,22
18,22
18,24
18,28
18,22
18,28
18,22
18,28
18,22
18,28
18,22
18,22
18,22
18,22
